"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2785081,"December 22, 2023",Maryland,"Upper Marlboro","12650 Brooke Ln",0,0,0,0,1,N/A
2784306,"December 21, 2023",Maryland,"Upper Marlboro (Springdale)","10001 Ardwick Ardmore Rd",0,0,0,0,1,N/A
2785246,"December 21, 2023",Maryland,Baltimore,"2000 Edgewood St",0,0,0,0,1,N/A
2785244,"December 21, 2023",Maryland,Baltimore,"2301 Gwynns Falls Pkwy",0,0,0,0,1,N/A
2785242,"December 20, 2023",Maryland,Baltimore,"1400 Orleans St",0,0,0,0,1,N/A
2783403,"December 20, 2023",Ohio,"Columbus (Gahanna)","700 Venetian Way",0,0,0,0,0,N/A
2788377,"December 19, 2023",Iowa,"Sioux City","3200 S Cypress St",0,0,0,0,1,N/A
2782092,"December 19, 2023",Pennsylvania,Allentown,"815 N Irving St",0,0,0,0,1,N/A
2784517,"December 19, 2023",Florida,"Fort Myers","3057 Cleveland Ave",0,0,0,0,1,N/A
2782528,"December 19, 2023",Tennessee,Memphis,"6670 E Raines Rd",0,0,0,0,0,N/A
2781549,"December 18, 2023",Indiana,Brownsburg,"4845 Bulldog Dr",0,0,0,0,0,N/A
2782274,"December 18, 2023",Iowa,"Des Moines","2600 SW 9th St",0,0,0,0,1,N/A
2783694,"December 18, 2023",Indiana,Hammond,"5825 S Blaine Ave",0,0,0,0,1,N/A
2781250,"December 18, 2023",Missouri,Kennett,"510 College Ave",0,0,0,0,1,N/A
2781628,"December 18, 2023",Wisconsin,"Green Bay","2710 Lineville Rd",0,0,0,0,1,N/A
2779515,"December 15, 2023",Georgia,Atlanta,"92 Piedmont Ave NE",1,1,0,0,0,N/A
2779762,"December 15, 2023",Florida,Jacksonville,"7301 Parker School Rd",0,0,0,0,1,N/A
2779753,"December 15, 2023",Tennessee,Nashville,"2835 Brick Church Pike",0,0,0,0,0,N/A
2779526,"December 14, 2023",Georgia,"Powder Springs","2400 New MacLand Rd",0,0,0,0,2,N/A
2778760,"December 14, 2023",Texas,Austin,"9700 McNeil Dr",0,0,0,0,0,N/A
2807462,"December 14, 2023","South Carolina",Florence,"3200 S Irby St",0,0,0,0,0,N/A
2779578,"December 14, 2023",Washington,Spokane,"1622 E Wellesley Ave",0,0,0,0,1,N/A
2779346,"December 14, 2023",Louisiana,"Lake Charles (Moss Bluff)","880 Sam Houston Jones Pkwy",0,0,0,0,1,N/A
2779507,"December 13, 2023",Virginia,Roanoke,"4902 Hidden Valley School Rd",0,0,0,0,0,N/A
2777785,"December 13, 2023",Mississippi,Brooklyn,"215 Old Hwy 49 E",0,0,0,0,1,N/A
2778686,"December 13, 2023","New Mexico",Albuquerque,"1510 Ellison Dr NW",0,0,0,0,1,N/A
2779760,"December 13, 2023","New Mexico",Albuquerque,"69 Hotel Cir NE",0,0,0,0,1,N/A
2777738,"December 12, 2023",Michigan,Kalamazoo,"2107 N 26th St",0,0,0,0,0,N/A
2777790,"December 12, 2023",Illinois,Oswego,"1525 Harvey Rd",0,0,0,0,1,N/A
2778126,"December 12, 2023",Michigan,Detroit,"5845 Auburn St",0,0,0,0,2,N/A
2778624,"December 12, 2023",Pennsylvania,Springville,N/A,0,0,0,0,1,N/A
2783456,"December 12, 2023",Ohio,Cleveland,"5100 Biddulph Rd",0,0,0,0,1,N/A
2777451,"December 12, 2023",Mississippi,Biloxi,"1921 Tribe Dr",0,0,0,0,1,N/A
2776978,"December 11, 2023","North Carolina",Pembroke,"8910 Deep Branch Rd",0,0,0,0,0,N/A
2777908,"December 11, 2023",California,Victorville,"12484 Tamarisk Rd",0,0,0,0,1,N/A
2776887,"December 11, 2023","South Carolina",Blythewood,"449 Rimer Pond Rd",0,0,0,0,0,N/A
2777421,"December 11, 2023",Missouri,Branson,"263 Buccaneer Blvd",0,0,0,0,1,N/A
2785269,"December 11, 2023",Maine,"North Berwick","100 Noble Wy",0,0,0,0,1,N/A
2774956,"December 8, 2023","New Mexico",Albuquerque,"10800 Dennis Chavez Blvd SW",1,0,0,0,1,N/A
2775369,"December 8, 2023",California,"San Francisco","1150 Francisco St",0,0,0,0,0,N/A
2775364,"December 8, 2023",California,"San Francisco","600 32nd Ave",0,0,0,0,1,N/A
2775066,"December 8, 2023",Tennessee,Antioch,"1900 Hobson Pike",0,0,0,0,1,N/A
2776395,"December 7, 2023","New York",Albany,"600 New Scotland Ave",0,0,0,0,1,N/A
2773492,"December 7, 2023","North Carolina",Kernersville,"2500 W Mountain St",0,0,0,0,0,N/A
2773400,"December 7, 2023",California,Lancaster,"44709 Beech Ave",0,0,0,0,1,N/A
2774594,"December 7, 2023",California,"Long Beach","1000 block of Junipero Ave",0,0,0,0,1,N/A
2772734,"December 6, 2023",Indiana,Indianapolis,"7300 E 56th St",0,0,0,0,2,N/A
2773494,"December 6, 2023","New Mexico",Clovis,"1900 N Thornton St",0,0,0,0,0,N/A
2772021,"December 6, 2023",Nevada,"Las Vegas","4505 S Maryland Pkwy",3,1,1,0,0,N/A
2771255,"December 5, 2023",Texas,Austin,"7104 Berkman Dr",6,3,0,0,1,N/A
2773085,"December 5, 2023","New York",Albany,"99 Slingerland St",0,0,0,0,1,N/A
2771781,"December 5, 2023",California,"Redondo Beach","1 Sea Hawk Way",0,0,0,0,1,N/A
2772890,"December 5, 2023",Massachusetts,Chicopee,"820 Front St",0,0,0,0,1,N/A
2771716,"December 5, 2023",Michigan,"Grand Rapids","2055 Rosewood Ave SE",0,0,0,0,1,N/A
2770765,"December 4, 2023",California,"Redondo Beach","1 Sea Hawk Way",0,0,0,0,1,N/A
2771173,"December 4, 2023",Oklahoma,"Elk City","1221 Pioneer Rd",0,0,0,0,1,N/A
2771155,"December 4, 2023",Oklahoma,"Oklahoma City","301 W New Orleans St",0,0,0,0,1,N/A
2769999,"December 1, 2023",Vermont,Hinesburg,"10888 Rte 116",0,0,0,0,0,N/A
2768312,"December 1, 2023",Ohio,"Cincinnati (North College Hill)","1620 Galbraith Rd",0,1,0,0,0,N/A
2768867,"December 1, 2023","South Carolina",Orangeburg,"300 College Ave",0,1,0,0,1,N/A
2907206,"December 1, 2023",Nevada,"Las Vegas","333 S Pavilion Center Dr",0,0,0,0,1,N/A
2771767,"December 1, 2023",Alaska,Anchorage,"410 E 56th Ave",0,0,0,0,1,N/A
2767652,"November 30, 2023","North Carolina",Durham,"3218 Rose of Sharon Rd",0,0,0,0,0,N/A
2767655,"November 30, 2023","North Carolina",Lumberton,"3901 Fayetteville Rd",0,0,0,0,0,N/A
2768445,"November 30, 2023",Alabama,Greenville,"100 Tiger Dr",0,0,0,0,1,N/A
2767443,"November 30, 2023",Texas,Houston,"2507 Mona Lee Ln",1,0,1,0,0,N/A
2768756,"November 30, 2023",Mississippi,"Port Gibson","159 Old Hwy 18",0,0,0,0,1,N/A
2766991,"November 29, 2023",Florida,"Saint Petersburg","1400 54th Ave S",0,0,0,0,1,N/A
2766838,"November 29, 2023","North Carolina","Rocky Mount","1400 Bethlehem Rd",0,0,0,0,1,N/A
2785277,"November 29, 2023",Iowa,"Iowa City","1930 Lakeside Dr",0,0,0,0,1,N/A
2767177,"November 29, 2023",Kentucky,Louisville,"6415 Outer Loop",0,0,0,0,1,N/A
2766426,"November 28, 2023",Massachusetts,Boston,"215 Dorchester St",0,0,0,0,1,N/A
2765953,"November 28, 2023","North Carolina",Wadesboro,"96 Anson High School Rd",0,0,0,0,1,N/A
2771149,"November 28, 2023",Virginia,"Newport News","1 Avenue of the Arts",0,0,0,0,1,N/A
2766207,"November 28, 2023",Ohio,Columbus,"284 N 22nd St",0,0,0,0,1,N/A
2765572,"November 28, 2023",Texas,Waxahachie,"3001 US-287",0,0,0,0,0,N/A
2766840,"November 28, 2023",Washington,Richland,"450 Hanford St",0,0,0,0,1,N/A
2766835,"November 28, 2023",Washington,Kennewick,"600 N Arthur St",0,0,0,0,1,N/A
2774592,"November 27, 2023",Maryland,Baltimore,"2810 Shirley Ave",0,0,0,0,1,N/A
2765799,"November 27, 2023","South Carolina","Rock Hill","2382 Firetower Rd",0,0,0,0,1,N/A
2764980,"November 27, 2023","South Carolina",Florence,"1119 N Irby St",0,0,0,0,1,N/A
2764821,"November 27, 2023",Kansas,"Kansas City","2214 N 59 St",0,0,0,0,1,N/A
2765549,"November 27, 2023",Georgia,Lagrange,"1920 Hamilton Rd",0,0,0,0,1,N/A
2765532,"November 27, 2023",Illinois,Chicago,"339 E Chicago Ave",0,0,0,0,0,N/A
2762927,"November 21, 2023",Nevada,"Las Vegas","4291 Pennwood Ave",0,0,0,0,1,N/A
2761285,"November 21, 2023","North Carolina",Greenville,"2568 NC-33",0,0,0,0,1,N/A
2762362,"November 21, 2023",Minnesota,"Saint Paul","275 Lexington Pkwy N",0,0,0,0,1,N/A
2761194,"November 20, 2023",California,"Santa Rosa","1501 Mendocino Ave",0,0,0,0,1,N/A
3007789,"November 20, 2023",Missouri,Columbia,"1104 N Providence Rd",0,0,0,0,1,N/A
2761534,"November 18, 2023",Virginia,Dumfries,"3401 Panther Pride Dr",0,0,0,0,1,N/A
2760605,"November 18, 2023",Tennessee,Knoxville,"1300 Phillip Fulmer Way",0,0,0,0,1,N/A
2758692,"November 17, 2023",Louisiana,Lafayette,"315 Rue du Belier",0,0,0,0,1,N/A
2759551,"November 17, 2023",Maryland,Rockville,"250 Richard Montgomery Dr",0,0,0,0,0,N/A
2757004,"November 16, 2023",Minnesota,"Minneapolis (New Hope)","8230 47th Ave N",0,0,0,0,2,N/A
2757816,"November 16, 2023",Illinois,Peoria,"811 S Griswold St",0,0,0,0,1,N/A
2757461,"November 16, 2023",Tennessee,Martin,"201 Hannings Ln",0,0,0,0,0,N/A
2756405,"November 15, 2023",Kentucky,Lexington,"1600 Man O War Blvd",0,0,0,0,1,N/A
2776276,"November 15, 2023",Missouri,Clever,"103 N Public School",0,0,0,0,1,N/A
2756262,"November 15, 2023",Alabama,"Muscle Shoals","100 Trojan Dr",0,0,0,0,1,N/A
2757154,"November 15, 2023",Arizona,Phoenix,"7107 N Black Cyn Hwy",0,0,0,0,1,N/A
2756872,"November 15, 2023",Oregon,Salem,"2440 NE Lancaster Dr",0,0,0,0,1,N/A
2757496,"November 15, 2023",Ohio,"Cleveland (Shaker Heights)","15911 Aldersyde Dr",0,0,0,0,1,N/A
2757494,"November 15, 2023",Ohio,Toledo,"2200 Arlington Ave",0,0,0,0,1,N/A
2756188,"November 14, 2023","North Carolina",Washington,"400 Slatestone Rd",0,0,0,0,1,N/A
2755367,"November 14, 2023",Tennessee,Munford,"1080 McLaughlin Dr",0,0,0,0,1,N/A
2756273,"November 14, 2023",Alabama,Somerville,"100 Cotaco School Rd",0,0,0,0,0,N/A
2756112,"November 14, 2023",Michigan,"Lincoln Park","1701 Champaign Rd",0,0,0,0,1,N/A
2756292,"November 14, 2023",Illinois,Peoria,"811 S Griswold St",0,0,0,0,2,N/A
2755911,"November 14, 2023","South Carolina",Columbia,"6671 St Andrews Rd",0,0,0,0,1,N/A
2755728,"November 14, 2023",California,Redlands,"1000 W Cypress Ave",0,0,0,0,2,N/A
